J,I,K,rep,seed_service,seed_lateness,method,algorithm_class,timing_scope,validated_obj,runtime_sec,budget_sec,validation_status,protocol_pass,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate,cuts_added,total_scenario_screens,num_vars,num_constrs,num_genconstrs
12,12,100,0,12065,12066,K-BRKGA,independent heuristic comparator,fixed stable slots,12.481735198323264,2.6448898315429688,120.0,PASS,not_applicable,1000,0.45861325636116124,1.7345922098022921,0.019833333333333335,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,1,12165,12166,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,12.548401619079925,115.28739786148071,120.0,PASS,1,1000,0.42961682695101844,1.690528290702529,0.01863333333333333,0.0032671559760881186,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,1,12165,12166,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.932107883803155,120.0990879535675,120.0,PASS,1,1000,0.3389762563241802,1.4836137701913994,0.012,0.0,0.0,0.0,6000.0,900.0,25740.0,25647.0,6000.0
12,12,100,1,12165,12166,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.932107883803155,114.75396585464478,120.0,PASS,1,1000,0.3389762563241802,1.4836137701913994,0.012,0.0,0.0,0.0,3120.0,890.0,25740.0,25647.0,6000.0
12,12,100,1,12165,12166,K-BRKGA,independent heuristic comparator,fixed stable slots,12.628457038236604,2.059915781021118,120.0,PASS,not_applicable,1000,0.47062607878502577,1.7718690327876943,0.0207,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,2,12265,12266,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,12.353404266518709,115.09335446357727,120.0,PASS,1,1000,0.4145490382021825,1.646593055256647,0.0179,0.016796948603744352,0.09178953684858467,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,2,12265,12266,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.15298009259567,120.12803530693054,120.0,PASS,1,1000,0.33293639499430927,1.4721970008042882,0.0137,0.0,0.0,0.0,11400.0,1500.0,25740.0,25647.0,6000.0
12,12,100,2,12265,12266,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.15298009259567,120.10657334327698,120.0,PASS,1,1000,0.33293639499430927,1.4721970008042882,0.0137,0.0,0.0,0.0,4440.0,1300.0,25740.0,25647.0,6000.0
12,12,100,2,12265,12266,K-BRKGA,independent heuristic comparator,fixed stable slots,11.812636185524696,2.552332639694214,120.0,PASS,not_applicable,1000,0.46357071494624064,1.763803819108206,0.022066666666666665,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,3,12365,12366,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,12.305947783993616,115.12573146820068,120.0,PASS,1,1000,0.41280069039001765,1.6370732370668906,0.017766666666666667,0.00012428501369871035,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,3,12365,12366,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.76840568129964,120.20413994789124,120.0,PASS,1,1000,0.3400644256515647,1.4840598911981058,0.0131,0.0,0.0,0.0,8000.0,1800.0,25740.0,25647.0,6000.0
12,12,100,3,12365,12366,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,8.76840568129964,120.09765386581421,120.0,PASS,1,1000,0.3400644256515647,1.4840598911981058,0.0131,0.0,0.0,0.0,3500.0,990.0,25740.0,25647.0,6000.0
12,12,100,3,12365,12366,K-BRKGA,independent heuristic comparator,fixed stable slots,12.486629533246088,2.3011281490325928,120.0,PASS,not_applicable,1000,0.47070486586269994,1.7967154722948824,0.021666666666666667,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,4,12465,12466,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,11.7103570971951,115.15012574195862,120.0,PASS,1,1000,0.374587112931633,1.5044896421444818,0.013566666666666666,0.014705750209563856,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,4,12465,12466,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,9.041254129110058,120.10140872001648,120.0,PASS,1,1000,0.33103496737576776,1.4807784264418786,0.0126,0.00023101443028387397,0.0,0.0,8400.0,1400.0,25740.0,25647.0,6000.0
12,12,100,4,12465,12466,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,9.041254129110058,120.11691880226135,120.0,PASS,1,1000,0.33103496737576776,1.4807784264418786,0.0126,0.00023101443028387397,0.0,0.0,3760.0,1180.0,25740.0,25647.0,6000.0
12,12,100,4,12465,12466,K-BRKGA,independent heuristic comparator,fixed stable slots,12.942839424544644,3.12408185005188,120.0,PASS,not_applicable,1000,0.45961260322820063,1.7291876074163812,0.0203,0.0,0.0,0.0,nan,nan,nan,nan,nan
12,12,100,5,12565,12566,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,12.330711254635474,115.67640781402588,120.0,PASS,1,1000,0.40221791815454455,1.6167921189964776,0.015033333333333333,0.00012314136701835446,0.0,0.0,0.0,0.0,29340.0,17526.0,86100.0
12,12,100,5,12565,12566,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,9.032391985722938,112.41676807403564,120.0,PASS,1,1000,0.3301775731303355,1.487887347796956,0.012166666666666666,0.00023703195813971708,0.0,0.0,10400.0,1400.0,25740.0,25647.0,6000.0
12,12,100,5,12565,12566,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,9.032391985722938,111.43474411964417,120.0,PASS,1,1000,0.3301775731303355,1.487887347796956,0.012166666666666666,0.00023703195813971708,0.0,0.0,3180.0,1180.0,25740.0,25647.0,6000.0
