protocol_version,J,K,rep,seed_service,seed_lateness,method,status,certified,validated_obj,alpha_sum,beta_sum,avg_direct_burden,avg_indirect_burden,avg_total_burden,validation_max_violation,runtime_sec,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,500,5,2075,2075,DE-MILP,PASS,1,0.3044410518350702,13.295558948164931,22.4,0.05074017530584481,0.0,0.05074017530584481,0.0,46.20275688171387,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,5,2075,2075,SS-BW,PASS,0,5.9673927148094315,7.632607285190568,22.4,0.9945654524682386,0.0,0.9945654524682386,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,5,2075,2075,SS-MILP,PASS,0,1.153382796226488,13.295558948164931,21.551058255608584,0.05074017530584481,0.1414902907319023,0.19223046603774713,0.0,0.33351612091064453,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,6,2085,2085,DE-MILP,PASS,1,0.454823046030711,13.145176953969294,22.4,0.0758038410051179,0.0,0.0758038410051179,0.0,0.06556010246276855,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,6,2085,2085,SS-BW,PASS,0,5.978481812418629,7.621518187581371,22.4,0.9964136354031048,0.0,0.9964136354031048,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,6,2085,2085,SS-MILP,PASS,0,1.3121496288063526,13.145176953969294,21.542673417224353,0.0758038410051179,0.14288776379594084,0.21869160480105876,0.0,0.015999794006347656,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,6,2085,2085,DE-MILP,PASS,1,0.3903340226819694,13.209665977318027,22.4,0.06505567044699549,0.0,0.06505567044699549,0.0,0.34770989418029785,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,6,2085,2085,SS-BW,PASS,0,5.9271129560614675,7.672887043938534,22.4,0.9878521593435776,0.0,0.9878521593435776,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,6,2085,2085,SS-MILP,PASS,0,3.3129474394058676,13.209665977318027,19.477386583276104,0.06505567044699549,0.4871022361206491,0.5521579065676446,0.0,0.033998966217041016,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,6,2085,2085,DE-MILP,PASS,1,0.31197546256419884,13.288024537435795,22.4,0.0519959104273671,0.0,0.0519959104273671,0.0,5.828022480010986,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,6,2085,2085,SS-BW,PASS,0,6.000863390836777,7.599136609163223,22.4,1.0001438984727962,0.0,1.0001438984727962,0.0,0.0010004043579101562,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,6,2085,2085,SS-MILP,PASS,0,3.220788279779299,13.288024537435795,19.491187182784905,0.0519959104273671,0.48480213620251544,0.5367980466298825,0.0,0.12256574630737305,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,6,2085,2085,DE-MILP,PASS,1,0.32360864874617334,13.27639135125382,22.4,0.05393477479102996,0.0,0.05393477479102996,0.0,26.5972421169281,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,6,2085,2085,SS-BW,PASS,0,6.001005724353277,7.598994275646724,22.4,1.0001676207255459,0.0,1.0001676207255459,0.0,0.0009980201721191406,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,6,2085,2085,SS-MILP,PASS,0,3.2257614170143043,13.276391351253842,19.49784723173185,0.05393477479102604,0.4836921280446913,0.5376269028357173,0.0,0.31874918937683105,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,7,2095,2095,DE-MILP,PASS,1,0.2990352831279637,13.300964716872034,22.4,0.0498392138546608,0.0,0.0498392138546608,0.0,0.05600285530090332,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,7,2095,2095,SS-BW,PASS,0,5.9471455325368225,7.652854467463179,22.4,0.9911909220894701,0.0,0.9911909220894701,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,7,2095,2095,SS-MILP,PASS,0,1.1723983209467406,13.300964716872034,21.52663696218122,0.0498392138546608,0.14556050630312947,0.19539972015779028,0.0,0.016997098922729492,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,7,2095,2095,DE-MILP,PASS,1,0.3314158046258413,13.26858419537416,22.4,0.055235967437639776,0.0,0.055235967437639776,0.0,0.36667442321777344,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,7,2095,2095,SS-BW,PASS,0,6.033995170509389,7.56600482949061,22.4,1.005665861751565,0.0,1.005665861751565,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,7,2095,2095,SS-MILP,PASS,0,1.1791390575055303,13.26858419537416,21.55227674712031,0.055235967437639776,0.14128720881328172,0.1965231762509215,0.0,0.03662371635437012,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,7,2095,2095,DE-MILP,PASS,1,0.3075304397300087,13.292469560269993,22.4,0.05125507328833456,0.0,0.05125507328833456,0.0,4.94051194190979,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,7,2095,2095,SS-BW,PASS,0,6.0212895942414875,7.578710405758512,22.4,1.0035482657069146,0.0,1.0035482657069146,0.0,0.0010025501251220703,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,7,2095,2095,SS-MILP,PASS,0,1.1563544357828235,13.292469560269993,21.551176003947187,0.05125507328833456,0.14147066600880173,0.1927257392971363,0.0,0.12950944900512695,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,7,2095,2095,DE-MILP,PASS,1,0.30533069539932,13.29466930460068,22.4,0.050888449233219925,0.0,0.050888449233219925,0.0,23.806235551834106,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,7,2095,2095,SS-BW,PASS,0,6.0089582535011345,7.591041746498867,22.4,1.0014930422501889,0.0,1.0014930422501889,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,7,2095,2095,SS-MILP,PASS,0,3.208517568425364,13.29466930460068,19.496813126973958,0.050888449233219925,0.48386447883767375,0.5347529280708937,0.0,0.3156728744506836,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,8,2105,2105,DE-MILP,PASS,1,0.21250479071515116,13.387495209284845,22.4,0.0354174651191926,0.0,0.0354174651191926,0.0,0.05759596824645996,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,8,2105,2105,SS-BW,PASS,0,5.957863957747595,7.642136042252405,22.4,0.9929773262912658,0.0,0.9929773262912658,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,8,2105,2105,SS-MILP,PASS,0,1.072074879669536,13.387495209284845,21.540429911045617,0.0354174651191926,0.14326168149239704,0.17867914661158965,0.0,0.01699972152709961,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,8,2105,2105,DE-MILP,PASS,1,0.28334726473429583,13.3166527352657,22.4,0.04722454412238297,0.0,0.04722454412238297,0.0,0.37903857231140137,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,8,2105,2105,SS-BW,PASS,0,5.916404849656388,7.68359515034361,22.4,0.9860674749427316,0.0,0.9860674749427316,0.0,0.0,common_replication_seed
