protocol_version,J,K,rep,seed_service,seed_lateness,method,patient,attended_stages,direct_burden,indirect_burden,total_burden,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,DE-MILP,1,1,0.22493967901083467,0.0,0.22493967901083467,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,DE-MILP,2,2,0.049947818046636616,0.0,0.049947818046636616,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,DE-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-BW,1,1,1.9551442754503081,0.0,1.9551442754503081,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-BW,3,2,3.9696955490779886,0.0,3.9696955490779886,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-MILP,0,1,0.23946700735892268,0.0,0.23946700735892268,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-MILP,2,2,0.049947818046636616,0.0,0.049947818046636616,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-MILP,3,2,0.0,2.9066713142090777,2.9066713142090777,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,DE-MILP,0,1,0.2620528077773243,0.0,0.2620528077773243,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,DE-MILP,2,2,0.049530475982795696,0.0,0.049530475982795696,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,DE-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-BW,3,2,3.9916578778362446,0.0,3.9916578778362446,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-MILP,0,1,0.2620528077773243,0.0,0.2620528077773243,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-MILP,2,2,0.049530475982795696,0.851265090010501,0.9007955659932967,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,DE-MILP,1,1,0.2627857318619653,0.0,0.2627857318619653,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,DE-MILP,3,2,0.04563384530303072,0.0,0.04563384530303072,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
