protocol_version,J,K,kappa,rep,seed_service,seed_lateness,tau_mean,psi_mean,status,certified,solver_obj,validated_obj,alpha_sum,beta_sum,validation_status,validation_max_violation,runtime_sec,build_sec,solve_sec,solver_bound,relative_gap,scenario_seed_mode
EJOR-SECTION54-PROTOCOL,4,500,0.25,4,2065,2065,0.05169938152925096,0.025626811336245687,STATUS_2,1,0.2735047872553569,0.27350478725542615,13.326495212744572,22.4,PASS,0.0,37.04381275177002,0.5447869300842285,36.49902582168579,0.2735047872553604,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.75,4,2065,2065,0.15509814458775287,0.07688043400873706,STATUS_2,1,0.3019576318453794,0.30195763184541846,13.298042368154576,22.4,PASS,0.0,27.52950692176819,0.5484919548034668,26.98101496696472,0.30195763184538293,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,1.0,4,2065,2065,0.20679752611700383,0.10250724534498275,STATUS_2,1,0.317112037690956,0.31711203769100393,13.282887962308997,22.4,PASS,0.0,27.709360361099243,0.5407664775848389,27.168593883514404,0.3171120376909595,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,1.5,4,2065,2065,0.30465188226847195,0.15376086801747413,STATUS_2,1,0.3386541945178987,0.33865419451790046,13.261345805482096,22.4,PASS,0.0,26.851226091384888,0.6326351165771484,26.21859097480774,0.33865419451790224,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,2.0,4,2065,2065,0.3746236550636316,0.20499727246161792,STATUS_2,1,0.34088643017579656,0.3408864301758001,13.259113569824198,22.4,PASS,0.0,25.949983596801758,0.5462331771850586,25.402750253677368,0.3408864301758019,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.0,5,2075,2075,0.0,0.0,STATUS_2,1,0.2150381347165542,0.21503813471654354,13.38496186528345,22.4,PASS,0.0,0.2115175724029541,0.05351614952087402,0.15800142288208008,0.21503813471655064,3.552713678800501e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.25,5,2075,2075,0.04938044328630928,0.02671780616351933,STATUS_2,1,0.22874627024177574,0.2287462702417713,13.371253729758227,22.4,PASS,0.0,0.33324718475341797,0.0560002326965332,0.27724695205688477,0.2287462702417784,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.75,5,2075,2075,0.1481413298589278,0.08015341849055797,STATUS_2,1,0.25587045644769635,0.2558704564477168,13.34412954355228,22.4,PASS,0.0,0.3130176067352295,0.05499696731567383,0.25802063941955566,0.25587045644769724,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.0,5,2075,2075,0.1975217731452371,0.10687122465407732,STATUS_2,1,0.26870480592808743,0.26870480592810964,13.331295194071888,22.4,PASS,0.0,0.30313682556152344,0.05357551574707031,0.24856162071228027,0.2687048059280883,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.5,5,2075,2075,0.2900310744727787,0.16030683698111595,STATUS_2,1,0.2918162095758374,0.2918162095758632,13.308183790424136,22.4,PASS,0.0,0.30524277687072754,0.05399966239929199,0.25124311447143555,0.2918162095758383,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,2.0,5,2075,2075,0.35767045894016347,0.21372600032636258,STATUS_2,1,0.3010025813293362,0.30100258132933533,13.298997418670664,22.4,PASS,0.0,0.3691236972808838,0.05350160598754883,0.31562209129333496,0.3010025813293371,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.0,5,2075,2075,0.0,0.0,STATUS_2,1,0.25100637209640997,0.25100637209641263,13.348993627903583,22.4,PASS,0.0,2.62624192237854,0.2101116180419922,2.416130304336548,0.25100637209640553,4.440892098500626e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.25,5,2075,2075,0.050310206961349475,0.025799460889947702,STATUS_2,1,0.26442766853137645,0.26442766853137556,13.335572331468622,22.4,PASS,0.0,4.612565040588379,0.21558284759521484,4.396982192993164,0.2644276685313809,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.75,5,2075,2075,0.15093062088404843,0.07739838266984311,STATUS_2,1,0.2930256917759708,0.2930256917759735,13.306974308224024,22.4,PASS,0.0,4.782081604003906,0.21497344970703125,4.567108154296875,0.2930256917759735,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,1.0,5,2075,2075,0.2012408278453979,0.10319784355979081,STATUS_2,1,0.3078641755684357,0.30786417556843304,13.292135824431565,22.4,PASS,0.0,4.852593421936035,0.22062325477600098,4.631970167160034,0.30786417556843837,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,1.5,5,2075,2075,0.2955477275610799,0.15479676533968623,STATUS_2,1,0.3360262994976564,0.3360262994976537,13.263973700502344,22.4,PASS,0.0,4.9872963428497314,0.22980618476867676,4.757490158081055,0.3360262991191476,3.7850877987466447e-10,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,2.0,5,2075,2075,0.36238542525760226,0.2063915748741336,STATUS_2,1,0.337401502894652,0.3374015028946431,13.262598497105357,22.4,PASS,0.0,7.458738327026367,0.21695327758789062,7.241785049438477,0.3374015028946573,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.0,5,2075,2075,0.0,0.0,STATUS_2,1,0.2498278209340672,0.24982782093409384,13.350172179065902,22.4,PASS,0.0,15.08374571800232,0.5531773567199707,14.530568361282349,0.24982782093410094,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.25,5,2075,2075,0.0512230574131773,0.025952770368170525,STATUS_2,1,0.26258454967783074,0.2625845496779746,13.337415450322021,22.4,PASS,0.0,23.97758913040161,0.5475099086761475,23.430079221725464,0.2625845496778343,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.75,5,2075,2075,0.15366917223953191,0.07785831110451158,STATUS_2,1,0.2900970900748163,0.29009709007483053,13.309902909925162,22.4,PASS,0.0,102.05640769004822,0.5587565898895264,101.49765110015869,0.2900970900748199,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,1.0,5,2075,2075,0.2048922296527092,0.1038110814726821,STATUS_2,1,0.30444105183494585,0.3044410518350702,13.295558948164931,22.4,PASS,0.0,46.582616090774536,0.5619065761566162,46.02070951461792,0.3044410518349494,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,1.5,5,2075,2075,0.3010086233657891,0.15571662220902316,STATUS_2,1,0.32721667003011135,0.3272166700302108,13.272783329969787,22.4,PASS,0.0,46.36756229400635,0.5374352931976318,45.830127000808716,0.3272166700301149,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,2.0,5,2075,2075,0.36799767714730597,0.20761049030321202,STATUS_2,1,0.32888696557842145,0.328886965578441,13.271113034421555,22.4,PASS,0.0,33.5543794631958,0.5522570610046387,33.00212240219116,0.3288869655784268,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.0,6,2085,2085,0.0,0.0,STATUS_2,1,0.32464732427269993,0.3246473242726893,13.275352675727303,22.4,PASS,0.0,0.21010303497314453,0.057001352310180664,0.15310168266296387,0.32464732427269816,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.25,6,2085,2085,0.04992922260693004,0.026686833626847574,STATUS_2,1,0.34280705927692523,0.342807059276943,13.257192940723051,22.4,PASS,0.0,0.3351118564605713,0.057001590728759766,0.27710723876953125,0.342807059276927,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.75,6,2085,2085,0.14978766782079012,0.08006050088054271,STATUS_2,1,0.3760331897097853,0.37603318970978705,13.223966810290213,22.4,PASS,0.0,0.39189648628234863,0.05547189712524414,0.3364245891571045,0.3760331897097835,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.0,6,2085,2085,0.19971689042772017,0.1067473345073903,STATUS_2,1,0.39033402268196227,0.3903340226819694,13.209665977318027,22.4,PASS,0.0,0.32550907135009766,0.05500078201293945,0.2705082893371582,0.39033402268196227,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.5,6,2085,2085,0.29490689340862625,0.16012100176108543,STATUS_2,1,0.4183132395547471,0.41831323955474176,13.181686760445254,22.4,PASS,0.0,0.3666834831237793,0.05455660820007324,0.31212687492370605,0.4183132395547453,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,2.0,6,2085,2085,0.3641024875320752,0.21338262633055258,STATUS_2,1,0.42374285446040094,0.42374285446040005,13.176257145539598,22.4,PASS,0.0,0.36508846282958984,0.05499887466430664,0.3100895881652832,0.42374285446040183,0.0,common_replication_seed
